GaiusCa1igu1a,2014-09-20 21:41:54,"Outrage? No, it's not Israel. @FRANCE24 Egypt forces shoot Palestinians infiltrating through Gaza tunnel http://t.co/X450EvSMf9"
RoksanaR1998ali,2014-09-20 21:42:05,RT @HumanAppeal: Human Appeal's water tankers recently arrived in Gaza to provide children with clean water :) http://t.co/9f6bj2052r
EMPRESS_I,2014-09-20 21:42:17,RT @iFalasteen: A lovely smile from Gaza... http://t.co/eQsujT1uxT
zak_arab99983,2014-09-20 21:42:17,RT @charlesfrith: Congratulations graduate females of Gaza. You stood up to Israeli genocide. You are the future http://t.co/yqAMimxUHg
juancabreraaaa,2014-09-20 21:42:19,RT @rialjorge: Se dividieron en dos facciones las bailarinas de @cuervotinelli Lo de Gaza pasa a segundo plano. Listo.
Smaylin_Ferrera,2014-09-20 21:42:23,(#Fiquracallejera) Gaza afronta una crisis inmobiliaria sin precedentes a causa de la ofens... http://t.co/bGTZ2makwc (#Fiquracallejera)
nyak_idris,2014-09-20 21:42:24,"RT @hidcom: Muhammadiyah Mengapa ke Fatah, Bukan Rakyat Gaza?  http://t.co/HtTt3MWMkj"
bristolpistol23,2014-09-20 21:42:30,"RT @lannndawg: Girl why is you lying, girl why you Mufasa.. Yeah, mi casa su casa, got a stripper like Gaza.."
anamariagonza19,2014-09-20 21:42:43,RT @rialjorge: Se dividieron en dos facciones las bailarinas de @cuervotinelli Lo de Gaza pasa a segundo plano. Listo.
donn_morgan,2014-09-20 21:42:47,The fact that more Israeli lady soldiers took part in the Gaza offensive than in any other before spoke highly of their courage&patriotism!
StylesTomlinson,2014-09-20 21:42:59,"Photo: First day at school, Gaza, Palestine. this is the most important thing right now. http://t.co/HGhtUPbUeN"
SixthChandler,2014-09-20 21:42:59,"""@haaretzcom: Do you know what an Animal Liberation Farm is? Israel has the only one in Mideast http://t.co/hSKY3hNIQw"" isn't that Gaza?"
coovesmo,2014-09-20 21:43:04,RT @noonybaudy: In All Areas Of Palestine And Gaza People Implanted Plant On The Graves Of The Martyrs .. http://t.co/Y7uaklqeDo
luniseMarquis,2014-09-20 21:43:08,RT @FRANCE24: Egypt forces shoot Palestinians infiltrating through Gaza tunnel http://t.co/OkAGjXk85P http://t.co/9wq2KlPs91
nushsayeed,2014-09-20 21:43:12,RT @PSogeco: #Gaza ppl survived Genocide and died in the sea trying to immigrate to Europe through small boat http://t.co/4UHQiv6rmt
robin_isev,2014-09-20 21:43:15,Attack On U.N. School Kills Over A Dozen Civilians In Gaza
chuddles11,2014-09-20 21:43:15,RT @Hennie070: Israel stages third Gaza incursion since ceasefire http://t.co/dDWs7UJKOo @BarackObama @UN @hrw
Ezemoyano19,2014-09-20 21:43:21,RT @rialjorge: Se dividieron en dos facciones las bailarinas de @cuervotinelli Lo de Gaza pasa a segundo plano. Listo.
MajJackDowning,2014-09-20 21:43:26,RT @FRANCE24: Egypt forces shoot Palestinians infiltrating through Gaza tunnel http://t.co/OkAGjXk85P http://t.co/9wq2KlPs91
mb4peace,2014-09-20 21:43:28,@TREK0001 @MLKstudios @jhonyboy777 @SJffj @intifada stop making abt religion Palestinians come from all faiths & r oppressed by Israel #Gaza
TeamWeezy,2014-09-20 21:43:31,RT @suehepworth: Israel tortures prisoners captured during Gaza invasion. http://t.co/STzMitJ6As
Jehad_H,2014-09-20 21:43:31,RT @HananMassri: Gaza #BackToSchool .. http://t.co/YEFeSQkYYr
KhairulEzzwan,2014-09-20 21:43:42,RT @iFalasteen: A lovely smile from Gaza... http://t.co/eQsujT1uxT
CohenShim111,2014-09-20 21:43:54,RT @SussexFriends: After Gaza - the new anti-Semitism. SFI's Winston Pickett interviewed by JNTV: http://t.co/bvYJZpDSFg
nodssss,2014-09-20 21:44:00,"RT @mileenasup: First day of school, Gaza, Palestine. http://t.co/AZzaAOW55Q"
OmJo93,2014-09-20 21:44:05,Cabinet approves $5 billion plan for Gaza rehabilitition | Maan News Agency http://t.co/i5eIKpEQ47
MahaMonther,2014-09-20 21:44:15,RT @PSogeco: #Gaza ppl survived Genocide and died in the sea trying to immigrate to Europe through small boat http://t.co/4UHQiv6rmt
fromisrael,2014-09-20 21:44:17,Hundreds rally for political resolution to Gaza conflict http://t.co/zSqLphh6n7
IsraelNewswire,2014-09-20 21:44:20,Ynet: Senior Israeli official: Gaza talks to resume Tuesday http://t.co/kqEWYg4HbZ #israel
IsraelNewswire,2014-09-20 21:44:21,Ynet: Hundreds rally for political resolution to Gaza conflict http://t.co/0N9jsnO27F #israel
middleeastcoups,2014-09-20 21:44:21,"#Ynet Says: Hundreds rally for political resolution to Gaza conflict: Southern residents protest near Sderot, ... http://t.co/QVgwnNu1q3"
NewsTreasury,2014-09-20 21:44:21,#mideast Hundreds rally for political resolution to Gaza conflict  http://t.co/WdHB0DYWJ3
News4Jews,2014-09-20 21:44:21,"Hundreds rally for political resolution to Gaza conflict: Southern residents protest near Sderot, demand gover... http://t.co/UNGIECFvgR"
IsraelNews4,2014-09-20 21:44:22,"Hundreds rally for political resolution to Gaza conflict: Southern residents protest near Sderot, de... http://t.co/qIiUy1Pdvr #ynetnews"
MahaMonther,2014-09-20 21:44:22,"RT @IssamSammour: why can't i travel freely ?! Cuz of what ?
Stop collective punishment against ppl of #Gaza #FreeGaza"
news24hisr,2014-09-20 21:44:31,"Senior Israeli official: Gaza talks to resume Tuesday: Palestinian, Egyptian officials say negotiations betwee... http://t.co/1fvYFFoLP2"
news24hisr,2014-09-20 21:44:31,"Senior Israeli official: Gaza talks to resume Tuesday: Palestinian, Egyptian officials say negotiations betwee... http://t.co/1fvYFFoLP2"
news24hisr,2014-09-20 21:44:31,"Hundreds rally for political resolution to Gaza conflict: Southern residents protest near Sderot, demand gover... http://t.co/bWQWbMBmk7"
news24hisr,2014-09-20 21:44:31,"Hundreds rally for political resolution to Gaza conflict: Southern residents protest near Sderot, demand gover... http://t.co/bWQWbMBmk7"
BomberPelli,2014-09-20 21:44:37,RT @rialjorge: Se dividieron en dos facciones las bailarinas de @cuervotinelli Lo de Gaza pasa a segundo plano. Listo.
cool_sah,2014-09-20 21:44:50,Israel stages third Gaza incursion since ceasefire http://t.co/nBogvJJdwP Palestine occupation continues ...
DJ_illegalgh,2014-09-20 21:45:01,"#Xo_bit @mi_abaga @xo_senavoe that track tho. Nothing between us, bt dont cross me----gaza"
injustice836,2014-09-20 21:45:03,"More than 80% of the people of Gaza live under $1 a day, while the average Israeli makes $25,000 a year."
RonanLTynan,2014-09-20 21:45:03,".@munsterman1 @KenRoth @Europarl_EN @BarackObama Can #EU #US #Obama explain why arm, finance & cover-up #Israel's slaughter in #Gaza? #ICC"
MintPressNews,2014-09-20 21:45:12,Desperate Gazans flee to Europe in risky sea trips in hopes of a better life http://t.co/ehhRytJ4Bu #Gaza #Palestine #refugees #Israel
Aer_O_Head,2014-09-20 21:45:14,"RT @alidwedar: Unfortunately 
#Gaza is not suitable for life http://t.co/61CVDb1SUV"
FarhanYusufzai,2014-09-20 21:45:20,@HenryRops1 @intifada Enjoy: http://t.co/avQy7ipUdP
OpFreePalestine,2014-09-20 21:45:26,RT @guidestone33: Israel stages third #Gaza incursion since ceasefire' http://t.co/RM0nQBRthj
IbnAmghar1,2014-09-20 21:45:36,"""@Taimiyyah: ""#Egypt forces shoot #Palestinians infiltrating through #Gaza tunnel http://t.co/mAI6xcvTM0"""""
OccuWorld,2014-09-20 21:45:39,Egypt to host Palestinian-Israeli Gaza talks in days -state news agency http://t.co/vzwXGfzZ2T
KaikelineLae,2014-09-20 21:45:53,"RT @lannndawg: Girl why is you lying, girl why you Mufasa.. Yeah, mi casa su casa, got a stripper like Gaza.."
RegPiper,2014-09-20 21:45:59,RT @IDFSpokesperson: WATCH: Hamas fired thousands of rockets at Israel from within Gaza's civilian population https://t.co/DnKdaPywCj
NRushworth,2014-09-20 21:46:01,RT @FRANCE24: Egypt forces shoot Palestinians infiltrating through Gaza tunnel http://t.co/OkAGjXk85P http://t.co/9wq2KlPs91
nvrjiss,2014-09-20 21:46:05,"RT @Palestinianism: It has been a month since the ceasefire. Blockade still intact, rebuilding #Gaza is nothing but an empty slogan."
rogebocha,2014-09-20 21:46:11,"La guerra es contagiosa !!! La franja de Gaza fue tremenda, la de Israel y Palestina horrible y ahora, la de las bailarinas de Tinelli !!!"
ayshamoolla,2014-09-20 21:46:11,RT @iFalasteen: A lovely smile from Gaza... http://t.co/eQsujT1uxT
KissMeImSara,2014-09-20 21:46:26,"RT @Kochavva: South Africa stand with Gaza!!!
#ICheckTheLabel 
#BoycottIsrael 
#FreeGaza
#FreePalestine http://t.co/4xD63Npb2Y"
news24hIta,2014-09-20 21:46:28,"Gaza: trattative il 24 al Cairo: Tra le questioni aperte porto, aeroporto e scambio prigionieri http://t.co/keZZ3vN20o"
LubnaK,2014-09-20 21:46:28,"RT @killedbyisrael: 1661. Mounes Mohamed Ahmed Abu Rajileh, 25, Male #Gaza #FreePalestine"
freedomforgaza,2014-09-20 21:46:37,#gaza El drama de 4 vidas entre los escombros en Gaza - BBC Mundo http://t.co/f0Nf62lTXk
freedomforgaza,2014-09-20 21:46:38,#gaza Negociaciones sobre alto al fuego en Gaza se reanudan el 24 de ... - teleSUR TV http://t.co/haQ3NsAF9b
BIGMALIK6641,2014-09-20 21:46:44,"RT @injustice836: More than 80% of the people of Gaza live under $1 a day, while the average Israeli makes $25,000 a year."
Andi_Ali,2014-09-20 21:46:45,"Israeli settlers claim God give them the West Bank and Gaza. Alas, it wasn't God's to give."
christianmsees,2014-09-20 21:46:46,Israel extends cease-fire for 24 hours despite fresh rocket fire from Gaza - Fox News
MahaMonther,2014-09-20 21:46:46,RT @IkePius: The #ICC haunts Hapless Africans but FAILS to stop Netanyahu's bombing of #GaZA http://t.co/xEHmM72yws
MichaelLee2009,2014-09-20 21:46:46,Poems by Nagham Sami El-Yaziji (her names means Tune) http://t.co/HHUxddatXA #Gaza #Palestine #genocide
Leicliver,2014-09-20 21:46:46,RT @mcmounes: Shame! 8000 Palestinian children have been imprisoned by Israel since 2000!! #Palestine #Gaza http://t.co/44ILjJWfqV
MUSICFORPEACEGE,2014-09-20 21:46:51,"Ho pubblicato 3 foto su Facebook nell'album ""MISSIONE GAZA SETTEMBRE 2014"" http://t.co/pI6KgbmMHD"
fjlsouty,2014-09-20 21:47:00,RT @FRANCE24: Egypt forces shoot Palestinians infiltrating through Gaza tunnel http://t.co/OkAGjXk85P http://t.co/9wq2KlPs91
kleine_snowdrop,2014-09-20 21:47:02,The Gaza Strip Before And After http://t.co/DgLAExUtDv via @BrandyZadrozny
monkeybreath_,2014-09-20 21:47:05,Animals trapped in Gaza: http://t.co/b82uCKQmCs
Mariam_Muhanna,2014-09-20 21:47:10,Gaza walls are so thin. I can hear my neighbors convos and TV lol >.<
BEMSN,2014-09-20 21:47:13,RT @charlesfrith: Congratulations graduate females of Gaza. You stood up to Israeli genocide. You are the future http://t.co/yqAMimxUHg
polticalquest,2014-09-20 21:47:14,RT @MichaelLee2009: Poems by Nagham Sami El-Yaziji (her names means Tune) http://t.co/HHUxddatXA #Gaza #Palestine #genocide
fl85,2014-09-20 21:47:16,Hamas and Fatah Already Fighting Over Gaza Funds: http://t.co/hoAGwWNFc1
win1000Euro,2014-09-20 21:47:18,TalkTIPP von Petra Kalow: message-from-a-bottle . de hilft Kinder im Gaza-Streifen http://t.co/JMIhTtgECM
PoliticalBee,2014-09-20 21:47:21,RT @monkeybreath_: Animals trapped in Gaza: http://t.co/b82uCKQmCs
jeffinchiangma2,2014-09-20 21:47:28,RT @jk48325: Israel should be made to PAY 4 all destruction in Gaza.They r responsible 4 it! Totally unnecessary !!!! http://t.co/fCD6puZFwa
Tazzaman72,2014-09-20 21:47:36,RT @Mariam_Muhanna: Gaza walls are so thin. I can hear my neighbors convos and TV lol >.<
Poder0brero,2014-09-20 21:47:48,Negociaciones sobre alto al fuego en Gaza se reanudan el 24 de septiembre http://t.co/ibaqq3R8B3
